Book_ID,Book_Title,Author,Genre,Published_Year,Price,Stock
1,The Silent Harbor,Joseph Crane,Mystery,1949,21.34,100
2,Persevering Reciprocal Knowledge,Mario Moore,Fantasy,1971,35.8,19
3,Streamlined Coherent Initiative,Derrick Howard,Non-Fiction,1913,15.75,27
4,Customizable 24Hour Product,Christopher Andrews,Fiction,2020,43.52,8
5,Adaptive 5th Generation Encoding,Juan Miller,Fantasy,1956,19.05,16
6,Advanced Encompassing Implementation,Bryan Morgan,Biography,1985,6.56,2
7,Open-Architected Exuding Structure,Jacqueline Young,Romance,1927,43.63,95
8,Persistent Local Encoding,Troy Cox,Science Fiction,2019,48.99,84
9,Optimized Interactive Challenge,Colin Buckley,Fantasy,1987,14.33,70
10,Ergonomic National Hub,Samantha Ruiz,Mystery,2015,24.63,25
11,Secured Zero Tolerance Time-Frame,Denise Barnes,Fantasy,1998,35.95,10
12,Polarized Optimal Array,Destiny Scott,Non-Fiction,1989,27.43,63
13,Adaptive 5th Generation Orchestration,Jaclyn Miller,Romance,1913,14.04,99
14,Re-engineered Demand-Driven Parallelism,Jeremy Hayes,Science Fiction,1933,6.04,95
15,User-Friendly Motivating Strategy,Keith Smith,Non-Fiction,1997,23.83,58
16,Vision-Oriented Tangible Project,Christopher Price,Mystery,1941,10.07,8
17,Reduced Secondary Core,Benjamin Peters,Fantasy,1966,5.37,45
18,Adaptive 4th Generation Concept,Hector Palmer,Non-Fiction,2021,39.47,32
19,Progressive Asymmetric Internet Solution,Sean Miller,Science Fiction,1990,11.31,1
20,Face-to-Face Systematic Throughput,Teresa Brennan,Non-Fiction,1978,48.13,64
21,Down-Sized Static Interface,Todd Brown,Biography,1925,18.75,87
22,Modern Coastal Navigation,Laura Wilson,Non-Fiction,2018,29.99,41
23,The Last Lighthouse,Daniel Foster,Fiction,2005,17.5,22
24,Ocean of Forgotten Maps,Megan Carter,Adventure,2012,31.25,35
25,Midnight at Port Meridian,Robert Evans,Mystery,2023,22.9,14
26,Data-Driven Decisions,Priya Shah,Business,2024,26.4,55
27,The Analyst's Handbook,Neha Kapoor,Non-Fiction,2022,34.99,18
28,Voyage Beyond the Horizon,Andrew Reed,Adventure,2016,28.6,29
29,Letters from the Sea,Emily Stone,Romance,2009,16.8,44
30,Digital Operations,Arjun Mehta,Business,2025,42.0,12
